Source Label,Source Position,Destination Label,Destination Position,Sample Volume,Diluent Volume
Group51_A,B1,IL0 PCR Mix (Abgene#1127),C3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),D3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),E3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),F3,24.00,0.00
Group51_A,B1,IL0 PCR Mix (Abgene#1127),G3,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),H3,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),A4,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),B4,24.00,0.00
Group51_B,B1,IL0 PCR Mix (Abgene#1127),C4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),D4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),E4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),F4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),G4,24.00,0.00
Group51_A,E3,IL0 PCR Mix (Abgene#1127),H4,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),A5,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),B5,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),C5,24.00,0.00
Group51_B,E3,IL0 PCR Mix (Abgene#1127),D5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),E5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),F5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),G5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),H5,24.00,0.00
Group51_A,B4,IL0 PCR Mix (Abgene#1127),A6,24.00,0.00
Group51_B,B4,IL0 PCR Mix (Abgene#1127),B6,24.00,0.00
Group51_B,B4,IL0 PCR Mix (Abgene#1127),C6,24.00,0.00
Group51_B,B4,IL0 PCR Mix (Abgene#1127),D6,24.00,0.00
Group51_B,B4,IL0 PCR Mix (Abgene#1127),E6,24.00,0.00
Group51_A,B3,IL0 PCR Mix (Abgene#1127),F6,24.00,0.00
Group51_A,B3,IL0 PCR Mix (Abgene#1127),G6,24.00,0.00
Group51_A,B3,IL0 PCR Mix (Abgene#1127),H6,24.00,0.00
Group51_A,B3,IL0 PCR Mix (Abgene#1127),A7,24.00,0.00
Group51_A,B3,IL0 PCR Mix (Abgene#1127),B7,24.00,0.00
Group51_B,B3,IL0 PCR Mix (Abgene#1127),C7,24.00,0.00
Group51_B,B3,IL0 PCR Mix (Abgene#1127),D7,24.00,0.00
Group51_B,B3,IL0 PCR Mix (Abgene#1127),E7,24.00,0.00
Group51_B,B3,IL0 PCR Mix (Abgene#1127),F7,24.00,0.00
Group51_A,A2,IL0 PCR Mix (Abgene#1127),G7,24.00,0.00
Group51_A,A2,IL0 PCR Mix (Abgene#1127),H7,24.00,0.00
Group51_A,A2,IL0 PCR Mix (Abgene#1127),A8,24.00,0.00
Group51_A,A2,IL0 PCR Mix (Abgene#1127),B8,24.00,0.00
Group51_A,A2,IL0 PCR Mix (Abgene#1127),C8,24.00,0.00
Group51_B,A2,IL0 PCR Mix (Abgene#1127),D8,24.00,0.00
Group51_B,A2,IL0 PCR Mix (Abgene#1127),E8,24.00,0.00
Group51_B,A2,IL0 PCR Mix (Abgene#1127),F8,24.00,0.00
Group51_B,A2,IL0 PCR Mix (Abgene#1127),G8,24.00,0.00
gDNA,A1,IL0 PCR Mix (Abgene#1127),A1,19.65,32.35
gDNA,B1,IL0 PCR Mix (Abgene#1127),B1,20.26,31.74
gDNA,C1,IL0 PCR Mix (Abgene#1127),C1,24.59,27.41
gDNA,D1,IL0 PCR Mix (Abgene#1127),D1,21.73,30.27
gDNA,E1,IL0 PCR Mix (Abgene#1127),E1,20.01,31.99
gDNA,F1,IL0 PCR Mix (Abgene#1127),F1,19.74,32.26
gDNA,G1,IL0 PCR Mix (Abgene#1127),G1,18.18,33.82
gDNA,H1,IL0 PCR Mix (Abgene#1127),H1,16.38,35.62
gDNA,A2,IL0 PCR Mix (Abgene#1127),A2,17.35,34.65
gDNA,B2,IL0 PCR Mix (Abgene#1127),B2,19.34,32.66
gDNA,C2,IL0 PCR Mix (Abgene#1127),C2,20.31,31.69
gDNA,D2,IL0 PCR Mix (Abgene#1127),D2,18.43,33.57
gDNA,E2,IL0 PCR Mix (Abgene#1127),E2,23.88,28.12
gDNA,F2,IL0 PCR Mix (Abgene#1127),F2,20.29,31.71
gDNA,G2,IL0 PCR Mix (Abgene#1127),G2,20.90,31.10
gDNA,H2,IL0 PCR Mix (Abgene#1127),H2,16.39,35.61
gDNA,A3,IL0 PCR Mix (Abgene#1127),A3,19.37,32.63
gDNA,B3,IL0 PCR Mix (Abgene#1127),B3,18.12,33.88
gDNA,C3,IL0 PCR Mix (Abgene#1127),C3,24.47,27.53
gDNA,D3,IL0 PCR Mix (Abgene#1127),D3,23.65,28.35
gDNA,E3,IL0 PCR Mix (Abgene#1127),E3,26.21,25.79
gDNA,F3,IL0 PCR Mix (Abgene#1127),F3,17.05,34.95
gDNA,G3,IL0 PCR Mix (Abgene#1127),G3,23.18,28.82
gDNA,H3,IL0 PCR Mix (Abgene#1127),H3,29.20,22.80
gDNA,A4,IL0 PCR Mix (Abgene#1127),A4,26.87,25.13
gDNA,B4,IL0 PCR Mix (Abgene#1127),B4,23.67,28.33
gDNA,C4,IL0 PCR Mix (Abgene#1127),C4,19.29,32.71
gDNA,D4,IL0 PCR Mix (Abgene#1127),D4,20.24,31.76
gDNA,E4,IL0 PCR Mix (Abgene#1127),E4,18.89,33.11
gDNA,F4,IL0 PCR Mix (Abgene#1127),F4,18.80,33.20
gDNA,G4,IL0 PCR Mix (Abgene#1127),G4,19.65,32.35
gDNA,H4,IL0 PCR Mix (Abgene#1127),H4,16.34,35.66
gDNA,A5,IL0 PCR Mix (Abgene#1127),A5,24.70,27.30
gDNA,B5,IL0 PCR Mix (Abgene#1127),B5,18.28,33.72
gDNA,C5,IL0 PCR Mix (Abgene#1127),C5,17.44,34.56
gDNA,D5,IL0 PCR Mix (Abgene#1127),D5,16.31,35.69
gDNA,E5,IL0 PCR Mix (Abgene#1127),E5,15.93,36.07
gDNA,F5,IL0 PCR Mix (Abgene#1127),F5,18.65,33.35
gDNA,G5,IL0 PCR Mix (Abgene#1127),G5,23.43,28.57
gDNA,H5,IL0 PCR Mix (Abgene#1127),H5,25.62,26.38
gDNA,A6,IL0 PCR Mix (Abgene#1127),A6,20.97,31.03
gDNA,B6,IL0 PCR Mix (Abgene#1127),B6,23.77,28.23
gDNA,C6,IL0 PCR Mix (Abgene#1127),C6,17.90,34.10
gDNA,D6,IL0 PCR Mix (Abgene#1127),D6,17.66,34.34
gDNA,E6,IL0 PCR Mix (Abgene#1127),E6,15.60,36.40
gDNA,F6,IL0 PCR Mix (Abgene#1127),F6,27.26,24.74
gDNA,G6,IL0 PCR Mix (Abgene#1127),G6,22.02,29.98
gDNA,H6,IL0 PCR Mix (Abgene#1127),H6,26.52,25.48
gDNA,A7,IL0 PCR Mix (Abgene#1127),A7,23.74,28.26
gDNA,B7,IL0 PCR Mix (Abgene#1127),B7,17.83,34.17
gDNA,C7,IL0 PCR Mix (Abgene#1127),C7,17.79,34.21
gDNA,D7,IL0 PCR Mix (Abgene#1127),D7,15.74,36.26
gDNA,E7,IL0 PCR Mix (Abgene#1127),E7,19.10,32.90
gDNA,F7,IL0 PCR Mix (Abgene#1127),F7,15.83,36.17
gDNA,G7,IL0 PCR Mix (Abgene#1127),G7,19.70,32.30
gDNA,H7,IL0 PCR Mix (Abgene#1127),H7,20.02,31.98
gDNA,A8,IL0 PCR Mix (Abgene#1127),A8,19.94,32.06
gDNA,B8,IL0 PCR Mix (Abgene#1127),B8,21.97,30.03
gDNA,C8,IL0 PCR Mix (Abgene#1127),C8,21.40,30.60
gDNA,D8,IL0 PCR Mix (Abgene#1127),D8,20.61,31.39
gDNA,E8,IL0 PCR Mix (Abgene#1127),E8,16.22,35.78
gDNA,F8,IL0 PCR Mix (Abgene#1127),F8,18.29,33.71
gDNA,G8,IL0 PCR Mix (Abgene#1127),G8,15.24,36.76
